"Category","category_id","Subcategory","subcateogory_id","amount","year"
"村議会",1,"議会費",1,67667000,2013
"村行政",2,"総務費",2,498113000,2013
"子育て・教育",3,"児童福祉費",3,656840000,2013
"子育て・教育",3,"教育費",4,286815000,2013
"健康・福祉",4,"社会福祉費",5,520025000,2013
"健康・福祉",4,"衛生費",6,244695000,2013
"農林水産業",5,"農林水産業費",7,126748000,2013
"商工業",6,"商工費",8,213895000,2013
"まちづくり",7,"土木費",9,355224000,2013
"安全・防災",8,"消防費",10,141226000,2013
"安全・防災",8,"災害復旧費",11,3000,2013
"借金返済",9,"公債費",12,431636000,2013
"その他",10,"諸支出金",13,20000000,2013
"その他",10,"予備費",14,6000000,2013
